Abbrevation_internal	Abbrevation	OPC_molecular_subtype	Color_code	Molecular_superfamily	Molecular_family	Molecular_class	Molecular_subclass	description
GBM_LYMPH_HI	INFLAM_ENV		#DBDBDB	Inflammatory microenvironment	Inflammatory microenvironment	Inflammatory microenvironment	Inflammatory microenvironment	The "mc Inflammatory microenvironment" does not represent a distinct tumour class but rather a recurrently observed profile of mixed cell types with a high leukocyte fraction (often predominant granulocytic infiltrates). This is frequently observed in highly necrotic tumours, highly necrotic other tissues or when areas of extensive hemorrhage are sampled along with the tumour tissue of interest. tumours with a pronounced granulocytic infiltrate due to other reasons can also get an elevated score for this class. Classification into this class is not diagnostic for a specific type of tumour. A score for this class indicates that the extracted DNA is likely not suitable for classification by methylation profiling. Depending on the degree, copy number alterations may also be masked by the high leukocyte infiltration. The reference class consists of glioblastomas only, but other tumours with high leukocyte infiltration are also expected to fall into this class.
IO_MEPL	IO_MEPL		#46bcd2	intraocular medulloepithelioma	intraocular medulloepithelioma	intraocular medulloepithelioma	Intraocular medulloepithelioma	The "mc Intraocular medulloepithelioma" is comprised of rare primary embryonal neuroepithelial neoplasms of the eye characterized by cords of multi-layered neuroeopithelial cells resembling the medullary epithelium of the optic cup. Most occur in children, age 2-5 years (range <1-66 years), but rare cases in adults have been reported. In contrast to ETMR, they show no amplification of the C19mc cluster and have a strikingly different DNA methylation pattern compared to these suggesting that the ocular and CNS neoplasms do not share common origins and biological behaviors. They are sometimes associated with somatic and/or germline mutations in DICER1.
LCH	LCH		#4dcc8e	Haematolymphoid tumours involving the CNS	Histiocytic tumours	Langerhans cell histiocytosis	Langerhans cell histiocytosis	The "mc Langerhans cell histiocytosis" comprises manifestations of Langerhans cell histiocytosis. These typically harbour MAPK pathway activating mutations or fusions. Due to the typically mixed composition of cells, scores and sensitivity/specificity for this mc may largely vary. There is s far no sufficient data to determine the specificity of the methylation class for LCH compared to other histiocytoses, e.g. ECD.
LGG_MYB_B	LGG_MYB_B	LGG, MYB/MYBL1	#9c6ae1	Low-grade glial/glioneuronal/neuroepithelial tumours	diffuse glioma, MYB- or MYBL1-altered	diffuse glioma, MYB(L1)-altered, subtype B [infratentorial-type]	Diffuse astrocytoma, MYB or MYBL1-altered, subtype B [infratentorial] (novel)	The "mc diffuse astrocytoma, MYB- or MYBL1-altered" is an infiltrative astroglial neoplasm composed of monomorphic cells with genetic alterations in MYB or MYBL1 (CNS WHO grade 1). Initial methylation data on on this tumour type as reported in PMID 31563982. The mc comprises Subtypes  B, C, and D. Subtyping is so far provisional and under development.
LGG_MYB_C	LGG_MYB_C	LGG, MYB/MYBL1	#6726bf	Low-grade glial/glioneuronal/neuroepithelial tumours	diffuse glioma, MYB- or MYBL1-altered	diffuse glioma, MYB(L1)-altered, subtype C [isomorphic diffuse glioma-type]	Diffuse astrocytoma, MYB or MYBL1-altered, subtype C [isomorphic] (novel)	The "mf diffuse astrocytoma, MYB- or MYBL1-altered" is an infiltrative astroglial neoplasm composed of monomorphic cells with genetic alterations in MYB or MYBL1 (CNS WHO grade 1). Initial methylation data on on this tumour type as reported in PMID 31563982. The mc comprises Subtypes  B, C, and D. Subtyping is so far provisional and under development.
LGG_MYB_D	LGG_MYB_D	LGG, MYB/MYBL1	#501e95	Low-grade glial/glioneuronal/neuroepithelial tumours	diffuse glioma, MYB- or MYBL1-altered	diffuse glioma, MYB(L1)-altered, subtype D	Diffuse astrocytoma, MYB or MYBL1-altered, subtype D (novel)	The "mf diffuse astrocytoma, MYB- or MYBL1-altered" is an infiltrative astroglial neoplasm composed of monomorphic cells with genetic alterations in MYB or MYBL1 (CNS WHO grade 1). Initial methylation data on on this tumour type as reported in PMID 31563982. The mc comprises Subtypes  B, C, and D. Subtyping is so far provisional and under development.
LIPN	LIPN		#DE7B2C	liponeurocytoma	liponeurocytoma	liponeurocytoma	Liponeurocytoma	The "msc Liponeurocytoma" is comprised of tumours with the histological diagnosis liponeurocytoma, a typically cerebellar neoplasm with advanced neuronal or neurocytic differentiation, variable glial differentiation, and focal lipoma-like changes. Focal loss of chromosome 14 (70%) and chromosome 2p (50%) are recurrently observed.
MBg34_I	MB_G34_I	MB, Group3	#bad5f8	Medulloblastoma	medulloblastoma non-WNT/non-SHH activated	medulloblastoma Group 3	Medulloblastoma Group 3, subclass I	The "mc medulloblastoma, subclass Group 3" comprises the subclasses I-IV of the "mf medulloblastoma non-WNT/non-SHH activated" and accordingly represents a subset of the tumor type "medulloblastoma, molecularly defined, non-WNT/non-SHH activated". Overexpression of MYC  and MYC amplification (often with PVT1:MYC fusion) occurs in 17% .GFI1 and GFI1B are overexpressed due to enhancer hijacking in 15%. Chromosome 17 copy-number alterations are found in 55–58% : 17p deletion, 17q gain, or isochromosome 17q. Most frequently mutant/amplified genes in both group 3 and 4 are KDM6A (mutated in 7% of cases), OTX2 (amplified in 6%), ZMYM3 (mutated in 6%), KMT2C (mutated in 6%), KBTBD4 (mutated in 6%), MYCN (amplified in 6%), ZIC1 (mutated in 4%), CDK6 (amplified in 4%), KMT2D (mutated in 3%), and TBR1 (mutated in 3%) {28726821}. Deleterious heterozygous germline mutations in BRCA2 and PALB2 are present in 1–2% of patients. Classic morphology is most frequent in both group 3 and 4, whereas large cell / anaplastic cases are enriched in group 3 subclass II.
MBg34_II	MB_G34_II	MB, Group3	#8bb8f3	Medulloblastoma	medulloblastoma non-WNT/non-SHH activated	medulloblastoma Group 3	Medulloblastoma Group 3, subclass II	The "mc medulloblastoma, subclass Group 3" comprises the subclasses I-IV of the "mf medulloblastoma non-WNT/non-SHH activated" and accordingly represents a subset of the tumor type "medulloblastoma, molecularly defined, non-WNT/non-SHH activated". Overexpression of MYC  and MYC amplification (often with PVT1:MYC fusion) occurs in 17% .GFI1 and GFI1B are overexpressed due to enhancer hijacking in 15%. Chromosome 17 copy-number alterations are found in 55–58% : 17p deletion, 17q gain, or isochromosome 17q. Most frequently mutant/amplified genes in both group 3 and 4 are KDM6A (mutated in 7% of cases), OTX2 (amplified in 6%), ZMYM3 (mutated in 6%), KMT2C (mutated in 6%), KBTBD4 (mutated in 6%), MYCN (amplified in 6%), ZIC1 (mutated in 4%), CDK6 (amplified in 4%), KMT2D (mutated in 3%), and TBR1 (mutated in 3%) {28726821}. Deleterious heterozygous germline mutations in BRCA2 and PALB2 are present in 1–2% of patients. Classic morphology is most frequent in both group 3 and 4, whereas large cell / anaplastic cases are enriched in group 3 subclass II.
MBg34_III	MB_G34_III	MB, Group3	#5d9cee	Medulloblastoma	medulloblastoma non-WNT/non-SHH activated	medulloblastoma Group 3	Medulloblastoma Group 3, subclass III	The "mc medulloblastoma, subclass Group 3" comprises the subclasses I-IV of the "mf medulloblastoma non-WNT/non-SHH activated" and accordingly represents a subset of the tumor type "medulloblastoma, molecularly defined, non-WNT/non-SHH activated". Overexpression of MYC  and MYC amplification (often with PVT1:MYC fusion) occurs in 17% .GFI1 and GFI1B are overexpressed due to enhancer hijacking in 15%. Chromosome 17 copy-number alterations are found in 55–58% : 17p deletion, 17q gain, or isochromosome 17q. Most frequently mutant/amplified genes in both group 3 and 4 are KDM6A (mutated in 7% of cases), OTX2 (amplified in 6%), ZMYM3 (mutated in 6%), KMT2C (mutated in 6%), KBTBD4 (mutated in 6%), MYCN (amplified in 6%), ZIC1 (mutated in 4%), CDK6 (amplified in 4%), KMT2D (mutated in 3%), and TBR1 (mutated in 3%) {28726821}. Deleterious heterozygous germline mutations in BRCA2 and PALB2 are present in 1–2% of patients. Classic morphology is most frequent in both group 3 and 4, whereas large cell / anaplastic cases are enriched in group 3 subclass II.
MBg34_IV	MB_G34_IV	MB, Group3	#2f80ea	Medulloblastoma	medulloblastoma non-WNT/non-SHH activated	medulloblastoma Group 3	Medulloblastoma Group 3, subclass IV	The "mc medulloblastoma, subclass Group 3" comprises the subclasses I-IV of the "mf medulloblastoma non-WNT/non-SHH activated" and accordingly represents a subset of the tumor type "medulloblastoma, molecularly defined, non-WNT/non-SHH activated". Overexpression of MYC  and MYC amplification (often with PVT1:MYC fusion) occurs in 17% .GFI1 and GFI1B are overexpressed due to enhancer hijacking in 15%. Chromosome 17 copy-number alterations are found in 55–58% : 17p deletion, 17q gain, or isochromosome 17q. Most frequently mutant/amplified genes in both group 3 and 4 are KDM6A (mutated in 7% of cases), OTX2 (amplified in 6%), ZMYM3 (mutated in 6%), KMT2C (mutated in 6%), KBTBD4 (mutated in 6%), MYCN (amplified in 6%), ZIC1 (mutated in 4%), CDK6 (amplified in 4%), KMT2D (mutated in 3%), and TBR1 (mutated in 3%) {28726821}. Deleterious heterozygous germline mutations in BRCA2 and PALB2 are present in 1–2% of patients. Classic morphology is most frequent in both group 3 and 4, whereas large cell / anaplastic cases are enriched in group 3 subclass II.
MBg34_V	MB_G34_V	MB, Group4	#1566d0	Medulloblastoma	medulloblastoma non-WNT/non-SHH activated	medulloblastoma Group 4	Medulloblastoma Group 4, subclass V	The "mc medulloblastoma, subclass Group 4" comprises the subclasses V-VIII of the "mf medulloblastoma non-WNT/non-SHH activated" and accordingly represents a subset of the tumor type "medulloblastoma, molecularly defined, non-WNT/non-SHH activated". GFI1 and GFI1B are overexpressed in 12% group 4 tumours due to enhancer hijacking. 80–85% have chromosome 17 copy-number alterations: 17p deletion, 17q gain, or isochromosome 17q. Most frequently mutant/amplified genes in both group 3 and 4 are KDM6A (mutated in 7% of cases), OTX2 (amplified in 6%), ZMYM3 (mutated in 6%), KMT2C (mutated in 6%), KBTBD4 (mutated in 6%), MYCN (amplified in 6%), ZIC1 (mutated in 4%), CDK6 (amplified in 4%), KMT2D (mutated in 3%), and TBR1 (mutated in 3%). Enhancer hijacking of the SNCAIP gene locus leading to aberrant overexpression of PRDM6 is specific to group 4 medulloblastoma (17%). Deleterious heterozygous germline mutations in BRCA2 and PALB2 are present in 1–2%. Classic morphology is most frequent in both group 3 and 4, whereas large cell / anaplastic cases are enriched in group 3 subclass II.
MBg34_VI	MB_G34_VI	MB, Group4	#114fa2	Medulloblastoma	medulloblastoma non-WNT/non-SHH activated	medulloblastoma Group 4	Medulloblastoma Group 4, subclass VI	The "mc medulloblastoma, subclass Group 4" comprises the subclasses V-VIII of the "mf medulloblastoma non-WNT/non-SHH activated" and accordingly represents a subset of the tumor type "medulloblastoma, molecularly defined, non-WNT/non-SHH activated". GFI1 and GFI1B are overexpressed in 12% group 4 tumours due to enhancer hijacking. 80–85% have chromosome 17 copy-number alterations: 17p deletion, 17q gain, or isochromosome 17q. Most frequently mutant/amplified genes in both group 3 and 4 are KDM6A (mutated in 7% of cases), OTX2 (amplified in 6%), ZMYM3 (mutated in 6%), KMT2C (mutated in 6%), KBTBD4 (mutated in 6%), MYCN (amplified in 6%), ZIC1 (mutated in 4%), CDK6 (amplified in 4%), KMT2D (mutated in 3%), and TBR1 (mutated in 3%). Enhancer hijacking of the SNCAIP gene locus leading to aberrant overexpression of PRDM6 is specific to group 4 medulloblastoma (17%). Deleterious heterozygous germline mutations in BRCA2 and PALB2 are present in 1–2%. Classic morphology is most frequent in both group 3 and 4, whereas large cell / anaplastic cases are enriched in group 3 subclass II.
MBg34_VII	MB_G34_VII	MB, Group4	#0c3974	Medulloblastoma	medulloblastoma non-WNT/non-SHH activated	medulloblastoma Group 4	Medulloblastoma Group 4, subclass VII	The "mc medulloblastoma, subclass Group 4" comprises the subclasses V-VIII of the "mf medulloblastoma non-WNT/non-SHH activated" and accordingly represents a subset of the tumor type "medulloblastoma, molecularly defined, non-WNT/non-SHH activated". GFI1 and GFI1B are overexpressed in 12% group 4 tumours due to enhancer hijacking. 80–85% have chromosome 17 copy-number alterations: 17p deletion, 17q gain, or isochromosome 17q. Most frequently mutant/amplified genes in both group 3 and 4 are KDM6A (mutated in 7% of cases), OTX2 (amplified in 6%), ZMYM3 (mutated in 6%), KMT2C (mutated in 6%), KBTBD4 (mutated in 6%), MYCN (amplified in 6%), ZIC1 (mutated in 4%), CDK6 (amplified in 4%), KMT2D (mutated in 3%), and TBR1 (mutated in 3%). Enhancer hijacking of the SNCAIP gene locus leading to aberrant overexpression of PRDM6 is specific to group 4 medulloblastoma (17%). Deleterious heterozygous germline mutations in BRCA2 and PALB2 are present in 1–2%. Classic morphology is most frequent in both group 3 and 4, whereas large cell / anaplastic cases are enriched in group 3 subclass II.
MBg34_VIII	MB_G34_VIII	MB, Group4	#689be4	Medulloblastoma	medulloblastoma non-WNT/non-SHH activated	medulloblastoma Group 4	Medulloblastoma Group 4, subclass VIII	The "mc medulloblastoma, subclass Group 4" comprises the subclasses V-VIII of the "mf medulloblastoma non-WNT/non-SHH activated" and accordingly represents a subset of the tumor type "medulloblastoma, molecularly defined, non-WNT/non-SHH activated". GFI1 and GFI1B are overexpressed in 12% group 4 tumours due to enhancer hijacking. 80–85% have chromosome 17 copy-number alterations: 17p deletion, 17q gain, or isochromosome 17q. Most frequently mutant/amplified genes in both group 3 and 4 are KDM6A (mutated in 7% of cases), OTX2 (amplified in 6%), ZMYM3 (mutated in 6%), KMT2C (mutated in 6%), KBTBD4 (mutated in 6%), MYCN (amplified in 6%), ZIC1 (mutated in 4%), CDK6 (amplified in 4%), KMT2D (mutated in 3%), and TBR1 (mutated in 3%). Enhancer hijacking of the SNCAIP gene locus leading to aberrant overexpression of PRDM6 is specific to group 4 medulloblastoma (17%). Deleterious heterozygous germline mutations in BRCA2 and PALB2 are present in 1–2%. Classic morphology is most frequent in both group 3 and 4, whereas large cell / anaplastic cases are enriched in group 3 subclass II.
MB_MYO	MB_MYO		#1fb1f9	Medulloblastoma	medullomyoblastoma	medullomyoblastoma	Medullomyoblastoma	
MB_SHH_1	MB_SHH_1	MB, SHH	#8BC0FF	Medulloblastoma	medulloblastoma, SHH-activated	medulloblastoma, SHH-activated, subtype 1	Medulloblastoma, SHH-activated, subtype 1	The "mf Medulloblastoma, SHH activated" comprises the "mc Medulloblastoma, SHH-activated, subtype 1" (mostly infants and SUFU mutant, including germline) , "mc Medulloblastoma, SHH-activated, subtype 2" (9q loss, extensive nodularity), "mc Medulloblastoma, SHH-activated, subtype 3" (non-infant, often TP53 or ELP1 mutant), "mc Medulloblastoma, SHH-activated, subtype 4" (non-infant, mostly U1 and TERT mutant, often PTCH1/SMO altered) and "medulloblastoma, SHH-activated, IDH mutant" and represents Medulloblastoma, molecularly defined, SHH-activated. The molecular classes and subclasses are still being further characterized and in part provisional. Generally, germline or somatic mutations  in PTCH1 (~40% of tumours), SMO (~10%) and in SUFU (~10%) are frequent, and amplifications of GLI1 or GLI2 (~10%) and other downstream SHH target genes (MYCN, MYCL, and YAP1; < 10%).  Common copy-number variations in SHH-activated medulloblastoma include losses of chromosome 9q and 10q (including PTCH1 at 9q22 and SUFU at 10q24). Germline predisposition is often observed in SHH-activated medulloblastoma, thus comprehensive analysis including blood for  PTCH1, SUFU, TP53, ELP1, and GPR161, accompanied by genetic counselling may be advised. TP53-wildtype SHH medulloblastomas mostly show desmoplastic/nodular morphology or extensive nodularity, and to rarer extent classic or large cell / anaplastic. Recurrences can transforma to a focal anaplastic morphology. In TP53-mutant SHH medulloblastoma, diffuse anaplasia with partly large-cell phenotype occur in 70%. whereas others show desmoplastic/nodular morphology with focal anaplasia.
MB_SHH_2	MB_SHH_2	MB, SHH	#b3d5ff	Medulloblastoma	medulloblastoma, SHH-activated	medulloblastoma, SHH-activated, subtype 2	Medulloblastoma, SHH-activated, subtype 2	The "mf Medulloblastoma, SHH activated" comprises the "mc Medulloblastoma, SHH-activated, subtype 1" (mostly infants and SUFU mutant, including germline) , "mc Medulloblastoma, SHH-activated, subtype 2" (9q loss, extensive nodularity), "mc Medulloblastoma, SHH-activated, subtype 3" (non-infant, often TP53 or ELP1 mutant), "mc Medulloblastoma, SHH-activated, subtype 4" (non-infant, mostly U1 and TERT mutant, often PTCH1/SMO altered) and "medulloblastoma, SHH-activated, IDH mutant" and represents Medulloblastoma, molecularly defined, SHH-activated. The molecular classes and subclasses are still being further characterized and in part provisional. Generally, germline or somatic mutations  in PTCH1 (~40% of tumours), SMO (~10%) and in SUFU (~10%) are frequent, and amplifications of GLI1 or GLI2 (~10%) and other downstream SHH target genes (MYCN, MYCL, and YAP1; < 10%).  Common copy-number variations in SHH-activated medulloblastoma include losses of chromosome 9q and 10q (including PTCH1 at 9q22 and SUFU at 10q24). Germline predisposition is often observed in SHH-activated medulloblastoma, thus comprehensive analysis including blood for  PTCH1, SUFU, TP53, ELP1, and GPR161, accompanied by genetic counselling may be advised. TP53-wildtype SHH medulloblastomas mostly show desmoplastic/nodular morphology or extensive nodularity, and to rarer extent classic or large cell / anaplastic. Recurrences can transforma to a focal anaplastic morphology. In TP53-mutant SHH medulloblastoma, diffuse anaplasia with partly large-cell phenotype occur in 70%. whereas others show desmoplastic/nodular morphology with focal anaplasia.
MB_SHH_3	MB_SHH_3	MB, SHH		Medulloblastoma	medulloblastoma, SHH-activated	medulloblastoma, SHH-activated, subtype 3	Medulloblastoma, SHH-activated, subtype 3	The "mf Medulloblastoma, SHH activated" comprises the "mc Medulloblastoma, SHH-activated, subtype 1" (mostly infants and SUFU mutant, including germline) , "mc Medulloblastoma, SHH-activated, subtype 2" (9q loss, extensive nodularity), "mc Medulloblastoma, SHH-activated, subtype 3" (non-infant, often TP53 or ELP1 mutant), "mc Medulloblastoma, SHH-activated, subtype 4" (non-infant, mostly U1 and TERT mutant, often PTCH1/SMO altered) and "medulloblastoma, SHH-activated, IDH mutant" and represents Medulloblastoma, molecularly defined, SHH-activated. The molecular classes and subclasses are still being further characterized and in part provisional. Generally, germline or somatic mutations  in PTCH1 (~40% of tumours), SMO (~10%) and in SUFU (~10%) are frequent, and amplifications of GLI1 or GLI2 (~10%) and other downstream SHH target genes (MYCN, MYCL, and YAP1; < 10%).  Common copy-number variations in SHH-activated medulloblastoma include losses of chromosome 9q and 10q (including PTCH1 at 9q22 and SUFU at 10q24). Germline predisposition is often observed in SHH-activated medulloblastoma, thus comprehensive analysis including blood for  PTCH1, SUFU, TP53, ELP1, and GPR161, accompanied by genetic counselling may be advised. TP53-wildtype SHH medulloblastomas mostly show desmoplastic/nodular morphology or extensive nodularity, and to rarer extent classic or large cell / anaplastic. Recurrences can transforma to a focal anaplastic morphology. In TP53-mutant SHH medulloblastoma, diffuse anaplasia with partly large-cell phenotype occur in 70%. whereas others show desmoplastic/nodular morphology with focal anaplasia.
MB_SHH_4	MB_SHH_4	MB, SHH	#2E80C6	Medulloblastoma	medulloblastoma, SHH-activated	medulloblastoma, SHH-activated, subtype 4	Medulloblastoma, SHH-activated, subtype 4	The "mf Medulloblastoma, SHH activated" comprises the "mc Medulloblastoma, SHH-activated, subtype 1" (mostly infants and SUFU mutant, including germline) , "mc Medulloblastoma, SHH-activated, subtype 2" (9q loss, extensive nodularity), "mc Medulloblastoma, SHH-activated, subtype 3" (non-infant, often TP53 or ELP1 mutant), "mc Medulloblastoma, SHH-activated, subtype 4" (non-infant, mostly U1 and TERT mutant, often PTCH1/SMO altered) and "medulloblastoma, SHH-activated, IDH mutant" and represents Medulloblastoma, molecularly defined, SHH-activated. The molecular classes and subclasses are still being further characterized and in part provisional. Generally, germline or somatic mutations  in PTCH1 (~40% of tumours), SMO (~10%) and in SUFU (~10%) are frequent, and amplifications of GLI1 or GLI2 (~10%) and other downstream SHH target genes (MYCN, MYCL, and YAP1; < 10%).  Common copy-number variations in SHH-activated medulloblastoma include losses of chromosome 9q and 10q (including PTCH1 at 9q22 and SUFU at 10q24). Germline predisposition is often observed in SHH-activated medulloblastoma, thus comprehensive analysis including blood for  PTCH1, SUFU, TP53, ELP1, and GPR161, accompanied by genetic counselling may be advised. TP53-wildtype SHH medulloblastomas mostly show desmoplastic/nodular morphology or extensive nodularity, and to rarer extent classic or large cell / anaplastic. Recurrences can transforma to a focal anaplastic morphology. In TP53-mutant SHH medulloblastoma, diffuse anaplasia with partly large-cell phenotype occur in 70%. whereas others show desmoplastic/nodular morphology with focal anaplasia.
MB_SHH_IDH	MB_SHH_IDH	MB, SHH	#225e91	Medulloblastoma	medulloblastoma, SHH-activated	medulloblastoma, SHH-activated, IDH-mutant	Medulloblastoma, SHH-activated, IDH-mutant	The "mf Medulloblastoma, SHH activated" comprises the "mc Medulloblastoma, SHH-activated, subtype 1" (mostly infants and SUFU mutant, including germline) , "mc Medulloblastoma, SHH-activated, subtype 2" (9q loss, extensive nodularity), "mc Medulloblastoma, SHH-activated, subtype 3" (non-infant, often TP53 or ELP1 mutant), "mc Medulloblastoma, SHH-activated, subtype 4" (non-infant, mostly U1 and TERT mutant, often PTCH1/SMO altered) and "medulloblastoma, SHH-activated, IDH mutant" and represents Medulloblastoma, molecularly defined, SHH-activated. The molecular classes and subclasses are still being further characterized and in part provisional. Generally, germline or somatic mutations  in PTCH1 (~40% of tumours), SMO (~10%) and in SUFU (~10%) are frequent, and amplifications of GLI1 or GLI2 (~10%) and other downstream SHH target genes (MYCN, MYCL, and YAP1; < 10%).  Common copy-number variations in SHH-activated medulloblastoma include losses of chromosome 9q and 10q (including PTCH1 at 9q22 and SUFU at 10q24). Germline predisposition is often observed in SHH-activated medulloblastoma, thus comprehensive analysis including blood for  PTCH1, SUFU, TP53, ELP1, and GPR161, accompanied by genetic counselling may be advised. TP53-wildtype SHH medulloblastomas mostly show desmoplastic/nodular morphology or extensive nodularity, and to rarer extent classic or large cell / anaplastic. Recurrences can transforma to a focal anaplastic morphology. In TP53-mutant SHH medulloblastoma, diffuse anaplasia with partly large-cell phenotype occur in 70%. whereas others show desmoplastic/nodular morphology with focal anaplasia.
MB_WNT	MB_WNT	MB, WNT	#6DA7D9	Medulloblastoma	medulloblastoma, WNT activated	medulloblastoma, WNT activated	Medulloblastoma, WNT activated	The "msc Medulloblastoma, WNT" represents Medulloblastoma, molecularly defined, WNT-activated. Histologically most cases fall into the classic variant, sometimes into the large cell/anaplastic variant. Typical age is 7 - 14 years, but also up to 20% of adult medulloblastoma belong to this mehtylation subclass. Exon 3 mutations of CTNNB1 are found in nearly 90% of cases, typically accompanied by monosomy 6. CTNNB1-wildtype cases often carry germline APC mutations, particularly in younger patients.
MELN	MELN		#102A46	Melanocytic tumours	Circumscribed meningeal melanocytic neoplasms	melanocytoma	Melanocytoma	The mc “Circumscribed melanocytic tumor, CYSLTR2, GNAQ, GNA11 or PLCB4 mutated" comprises tumours with the histological diagnoses meningeal melanocytoma, meningeal melanoma, uveal melanoma, blue-nevi and blue-nevus–like melanoma. Location is highly variable and corresponds with the histological diagnoses. Molecularly, these tumours share the presence of activating hotspot mutations in one of the 4 genes CYSLTR2, GNAQ, GNA11 or PLCB4 which occur in a strictly mutually exclusive pattern. GNAQ and GNA11 mutations are most frequently observed (about 80%). Most frequent copy number alterations are gains of chromosome arm 8q and 6p, monosomy of chromosome 3, and loss of chromosome arm 1p and 6q.
MET_MEL	MET_MEL		#0B4068	Metastases to the CNS	melanocytic tumours	melanoma [metastatic]	Melanoma [metastatic]	The "mc Melanoma" exclusively comprises brain metastases of malignant melanomas of the skin. This class is included as a diagnostically relevant differential diagnosis to melanocytic brain tumours. Copy number alterations are frequently complex und often involve gains/partial gains of chromosome 1q, 6p and 7 and losses/partial losses of 9p (CDKN2A/B) and 11q (>50% of cases).
MEL_SCHW	MMNST		#F7CA8A	Cranial and paraspinal nerve tumours	Cranial and paraspinal nerve tumours	malignant melanotic nerve sheath tumour	Malignant melanotic nerve sheath tumour	The mc “Malignant melanotic nerve sheath tumour” comprises exclusively tumours with the histological diagnosis of malignant melanotic nerve sheath tumour formerly known as melanotic schwannoma. Location is typically a spinal nerve root but many other locations are reported. Mean age is 41 years (range 11 to 84 years). It is variably associated with Carney complex. Molecularly, these tumours typically carry PRKAR1A mutations and show loss of PRKAR1A protein expression. Whole-chromosome losses and gains are common. The most frequent alterations are monosomies of chromosomes 1, 2, 17, 21, and 22q and whole-chromosome gains variably involving chromosomes 5, 6, 7, 8, and 9.
MNG_ben-1	MNG_BEN_1		#e39ae5	meningioma	meningioma	meningioma, benign	Meningioma, subclass benign 1	The "mc Meningioma benign" comprises meningiomas epigenetically in one of the groups benign-1, 2 or 3. Subclass benign-1 cases typically show 22q deletions/NF2 mutations and rarely other mutations or CNVs. Histology is mostly but not exclusively fibroblastic, psammomatous or transitional.  Subclass benign-2 cases typically show AKT1/TRAF7, KLF4/TRAF7 or SMO mutations and rarely other mutations or CNVs. Histology is mostly meningothelial (then typically AKT1 mutant) or secretory (KLF4 mutant). Subclass benign-3 cases typically show trisomy 5, other trisomies, and can show 22q deletions/NF2 mutations and rarely other mutations or CNVs. Histology is mostly but not exclusively angiomatous, metaplastic, or microcytic. Prognosis in this mc is typically favourable, similar to WHO grade 1. Integration of meningioma subclasses into the brain tumor classifier is under development, thus, the specific meningioma classifier should be consulted in parallel. Integration of histology, methylation and CNVs can further increase prognostic accuracy.
MNG_ben-2	MNG_BEN_2		#d872da	meningioma	meningioma	meningioma, benign	Meningioma, subclass benign 2	The "mc Meningioma benign" comprises meningiomas epigenetically in one of the groups benign-1, 2 or 3. Subclass benign-1 cases typically show 22q deletions/NF2 mutations and rarely other mutations or CNVs. Histology is mostly but not exclusively fibroblastic, psammomatous or transitional.  Subclass benign-2 cases typically show AKT1/TRAF7, KLF4/TRAF7 or SMO mutations and rarely other mutations or CNVs. Histology is mostly meningothelial (then typically AKT1 mutant) or secretory (KLF4 mutant). Subclass benign-3 cases typically show trisomy 5, other trisomies, and can show 22q deletions/NF2 mutations and rarely other mutations or CNVs. Histology is mostly but not exclusively angiomatous, metaplastic, or microcytic. Prognosis in this mc is typically favourable, similar to WHO grade 1. Integration of meningioma subclasses into the brain tumor classifier is under development, thus, the specific meningioma classifier should be consulted in parallel. Integration of histology, methylation and CNVs can further increase prognostic accuracy.
MNG_ben-3	MNG_BEN_3		#cd49cf	meningioma	meningioma	meningioma, benign	Meningioma, subclass benign 3	The "mc Meningioma benign" comprises meningiomas epigenetically in one of the groups benign-1, 2 or 3. Subclass benign-1 cases typically show 22q deletions/NF2 mutations and rarely other mutations or CNVs. Histology is mostly but not exclusively fibroblastic, psammomatous or transitional.  Subclass benign-2 cases typically show AKT1/TRAF7, KLF4/TRAF7 or SMO mutations and rarely other mutations or CNVs. Histology is mostly meningothelial (then typically AKT1 mutant) or secretory (KLF4 mutant). Subclass benign-3 cases typically show trisomy 5, other trisomies, and can show 22q deletions/NF2 mutations and rarely other mutations or CNVs. Histology is mostly but not exclusively angiomatous, metaplastic, or microcytic. Prognosis in this mc is typically favourable, similar to WHO grade 1. Integration of meningioma subclasses into the brain tumor classifier is under development, thus, the specific meningioma classifier should be consulted in parallel. Integration of histology, methylation and CNVs can further increase prognostic accuracy.
MNG_int-A	MNG_INT_A		#8c258d	meningioma	meningioma	meningioma, intermediate	Meningioma, subclass intermediate A	The "mc Meningioma intermediate A/B" cases typically show 22q deletions/NF2 mutations and additional CNVs, mostly deletions of 1p and 10. Prognosis in this subclass is intermediate, similar to WHO grade 2. Integration of meningioma subclasses into the brain tumor classifier is under development, thus, the specific meningioma classifier should be consulted in parallel. Integration of histology, methylation and CNVs can further increase prognostic accuracy.
MNG_int-B	MNG_INT_B		#cd1dfb	meningioma	meningioma	meningioma, intermediate	Meningioma, subclass intermediate B	The "mc Meningioma intermediate A/B" cases typically show 22q deletions/NF2 mutations and additional CNVs, mostly deletions of 1p and 10. Prognosis in this subclass is intermediate, similar to WHO grade 2. Integration of meningioma subclasses into the brain tumor classifier is under development, thus, the specific meningioma classifier should be consulted in parallel. Integration of histology, methylation and CNVs can further increase prognostic accuracy.
